TestSmell;File
EmptyTest;https://github.com/DWAI911/OceanOdyssey/blob/cdef6bbc37e66a749fc08046de4759953ea6dc34/PlayerTest.java#L32-L34
UnknownTest;https://github.com/zevichen/base/blob/5a7e50aab41c5949b91fd96a175cfdcd85812608/src/main/java/com/czw/base/thread/MainTest.java#L29-L52
RedundantPrint;https://github.com/Ben-Steele/Tree-Data-Structure/blob/64414632285e77c62a4d31a7ccaa719751a393ba/TreeTest.java#L178-L190
DuplicateAssert;https://github.com/hhaslam11/Text-Fighter/blob/ae0fe3e4fba1e8ebb880a2ab0572069b21e8618f/src/com/hotmail/kalebmarc/textfighter/player/PotionTest.java#L266-L324
AssertionRoulette;https://github.com/emmai89/Assignment/blob/2ec0af36a6cde4db003a09dbf18ba1ffcf1b1ffa/UnitTest.java#L59-L78
AssertionRoulette;https://github.com/Glacier173/Git/blob/7fcb4dae0f2c2e9a9d5a931a15398d59462f4195/GitTest.java#L25-L34
RedundantPrint;https://github.com/elaissoussi/exercices/blob/50ac9b6d9e89c094010a9ed637bbd3198f36a729/marsrover/MarsRoverTest.java#L38-L48
EmptyTest;https://github.com/Shalabi98/GCIS634-group-project/blob/97cacad49ba66de19c0e8bd77ecde0a2a975c98d/GeneratorTest.java#L32-L35
MagicNumberTest;https://github.com/MaximeAttevall/AdventureGame/blob/dd9997a20b2270a6c5dd80e995b442250bd64088/funcTest.java#L15-L36
RedundantPrint;https://github.com/Olwethu-Thando/POE_PART2/blob/ac3f9b4c0b2de07653675d3863a2eb000e4b1c39/PeoTest.java#L42-L49
DuplicateAssert;https://github.com/vigusmao/Comp2_2020_PLE/blob/f38a995ff51ade221cdca4c6b72b98b88f13d9ef/Siguinha/src/testes/AlunoTest.java#L48-L84
EmptyTest;https://github.com/tachiniarthur/aplicativo-de-notas/blob/ea9a70791e0d4ebf62b28ee4e983c126cc16bc09/MainTest.java#L17-L19
ConditionalTestLogic;https://github.com/chadwishner/COP3502-Project-4-Java-/blob/d2a79f7fc4a9883f68f60744cb2866225fe449ec/TaskTest.java#L10-L54
SleepyTest;https://github.com/rdlester/hermes/blob/156c7cdc5479c50e952cea0878728383c1d2eb73/hermesTest/core/BeingTest.java#L58-L67
MagicNumberTest;https://github.com/emmai89/Assignment/blob/2ec0af36a6cde4db003a09dbf18ba1ffcf1b1ffa/UnitTest.java#L59-L78
EmptyTest;https://github.com/davpapp/PowerMiner/blob/ef35162da97a5687d83eb1a7220bfdcc00b9e243/src/PointTest.java#L7-L10
EmptyTest;https://github.com/doculibre/constellio/blob/66083c115bbe1b651727b0336b41dfb9e1ddea38/sdk/src/AAATest.java#L6-L9
IgnoredTest;https://github.com/AJohnstone2007/referenceLanguageCorpora/blob/2e8331957fa4c61d7979be7b54792a23fc8be724/languages/java/corpus/javaFX/cws/SkinCleanupTest.java#L68-L77
ConditionalTestLogic;https://github.com/gabrielseibel1/MusicSeibuilder/blob/e931ba43f8edab3ec38006ef8476e77425726952/SoundTest.java#L43-L53
AssertionRoulette;https://github.com/arcuri82/testing_security_development_enterprise_systems/blob/c80e35b4181111f0e56ae7243bd5762756af4f90/old/old_jpa_lock/UserTest.java#L296-L340
ConditionalTestLogic;https://github.com/bennn/NLP/blob/7d0c90feeaac03308791641dc6c864e88eba2ed0/TrieTest.java#L79-L99
MagicNumberTest;https://github.com/hhaslam11/Text-Fighter/blob/ae0fe3e4fba1e8ebb880a2ab0572069b21e8618f/src/com/hotmail/kalebmarc/textfighter/main/HelpTest.java#L14-L22
IgnoredTest;https://github.com/henrytxz/Algo/blob/f0b186aa128ebd01835013f432b793593c4a0e6d/slowTests/not_quick/ArrayInversionTest.java#L52-L80
IgnoredTest;https://github.com/andrelanna/fga0242/blob/6dab92f26afbd70487f2afedf927462aed894e04/aula6/exercicios/tst/FiguraPlanaTest.java#L16-L20
UnknownTest;https://github.com/anonymized-datascientist/Leveraging-Change-Information/blob/7899774c236e7fe477451ed454d7cec33347503d/Math/15/source/FastMathTest.java#L1115-L1119
UnknownTest;https://github.com/alibaba/alios-libreoffice/blob/e9a6cc08a12b5133a9dccf337d16f9a534f57f1e/bean/qa/complex/bean/OOoBeanTest.java#L94-L110
ConditionalTestLogic;https://github.com/Glacier173/wgit-project/blob/8820c845d359331793302eed996b34d9c2b017f4/GitTest.java#L43-L60
RedundantPrint;https://github.com/AvinRai/CPUMarketplace/blob/c115187244db4da5c6748535ee749930ea35c98d/src/QueueTest.java#L108-L127
DuplicateAssert;https://github.com/nguyenmv2/ChessAI/blob/61c7d27b9697f9e84af1cde6aa063b73a7c154d1/src/chess/hash/CuckooHashTest.java#L125-L150
UnknownTest;https://github.com/hyleei/Fisa3_JPAPractice/blob/8a381a9c126ebca2d4c6fae58040e10fad8ee56d/RunTest.java#L13-L37
DuplicateAssert;https://github.com/gabrielseibel1/MusicSeibuilder/blob/e931ba43f8edab3ec38006ef8476e77425726952/SoundTest.java#L15-L23
RedundantPrint;https://github.com/skolanko222/CLOBprocessor/blob/19097d5f286ba78e3431883826c0ef734facdd53/src/ClobProcessorTest.java#L86-L95
MagicNumberTest;https://github.com/rdlester/hermes/blob/156c7cdc5479c50e952cea0878728383c1d2eb73/hermesTest/core/BeingTest.java#L79-L91
UnknownTest;https://github.com/adamldavis/hellojava8/blob/65cc59228b43a1e722f8f662499b7c55979d7b44/TailTest.java#L55-L58
SleepyTest;https://github.com/INFO-ESIPE/TP-Programmation_Concurrente/blob/48457a69d6f38d906dda5d47965b1e91bbcb3194/TP%204/src/VoteTest.java#L53-L67
MagicNumberTest;https://github.com/bennn/NLP/blob/7d0c90feeaac03308791641dc6c864e88eba2ed0/TrieTest.java#L101-L107
SleepyTest;https://github.com/yuchting/yuchbox/blob/c4e3d7c87a47f192a4a7632fbb91d68fb3dbd719/server/src/weibo4j/WeiboTest.java#L231-L237
IgnoredTest;https://github.com/Vertexvis/consul-client/blob/4c755609e24abab00067d502616c61e61cc3e6f4/src/itest/java/com/orbitz/consul/HealthITest.java#L31-L51
RedundantPrint;https://github.com/henrytxz/Algo/blob/f0b186aa128ebd01835013f432b793593c4a0e6d/slowTests/not_quick/ArrayInversionTest.java#L52-L80
UnknownTest;https://github.com/Yosefalofagus/DnaPrefixTree/blob/a652fd71ef49205de0dcaa3e414269e24b085d14/DNATreeTest.java#L4-L7
ExceptionHandling;https://github.com/MaximeAttevall/AdventureGame/blob/dd9997a20b2270a6c5dd80e995b442250bd64088/funcTest.java#L15-L36
ExceptionHandling;https://github.com/hyleei/Fisa3_JPAPractice/blob/8a381a9c126ebca2d4c6fae58040e10fad8ee56d/RunTest.java#L13-L37
RedundantPrint;https://github.com/blueseerERP/blueseer/blob/77d3e9cdd7f364ed556f982cbfa71eabf812c5bc/src/utilities/bsTest.java#L89-L103
DuplicateAssert;https://github.com/henrytxz/Algo/blob/f0b186aa128ebd01835013f432b793593c4a0e6d/slowTests/not_quick/ArrayInversionTest.java#L82-L108
IgnoredTest;https://github.com/elaissoussi/exercices/blob/50ac9b6d9e89c094010a9ed637bbd3198f36a729/marsrover/MarsRoverTest.java#L81-L96
RedundantPrint;https://github.com/joejensen8/Orange/blob/dac8bf7f4ed4120504e5652ddc0f79b7e1721e51/OpadTest.java#L137-L193
UnknownTest;https://github.com/ikokkari/CCPS209Labs/blob/eff486baebf7b7acd6a3555c7fc56ff7ac420794/DualTest.java#L52-L54
DuplicateAssert;https://github.com/backgammon-java-ai/backg_java2012/blob/ca26b37a9a649d3ed5eb97cfceb9e5719b269bb7/MoveTest.java#L49-L78
SleepyTest;https://github.com/alibaba/alios-libreoffice/blob/e9a6cc08a12b5133a9dccf337d16f9a534f57f1e/bean/qa/complex/bean/OOoBeanTest.java#L114-L258
AssertionRoulette;https://github.com/Glacier173/wgit-project/blob/8820c845d359331793302eed996b34d9c2b017f4/GitTest.java#L43-L60
ConditionalTestLogic;https://github.com/blueseerERP/blueseer/blob/77d3e9cdd7f364ed556f982cbfa71eabf812c5bc/src/utilities/bsTest.java#L105-L119
AssertionRoulette;https://github.com/RachanSaini/java-testing-p1/blob/a41fdfa0c6ac3c2567ff44fbe5a57c41351ad8fd/LoopTest.java#L23-L28
DuplicateAssert;https://github.com/joejensen8/Orange/blob/dac8bf7f4ed4120504e5652ddc0f79b7e1721e51/OpadTest.java#L63-L86
UnknownTest;https://github.com/Rajinfo/spectre/blob/2884495380c90037c5b4450a8fce0cdb4bf84cc8/PojoTest.java#L8-L14
UnknownTest;https://github.com/ikokkari/CCPS209Labs/blob/eff486baebf7b7acd6a3555c7fc56ff7ac420794/DualTest.java#L27-L29
AssertionRoulette;https://github.com/yuchting/yuchbox/blob/c4e3d7c87a47f192a4a7632fbb91d68fb3dbd719/server/src/weibo4j/WeiboTest.java#L276-L283
ExceptionHandling;https://github.com/zevichen/base/blob/5a7e50aab41c5949b91fd96a175cfdcd85812608/src/main/java/com/czw/base/thread/MainTest.java#L29-L52
EmptyTest;https://github.com/simonlj8/Game/blob/49911f4449b7c9c7c0d7b097ca5853c6f7693a58/src/GamesTest.java#L70-L76
SleepyTest;https://github.com/alibaba/alios-libreoffice/blob/e9a6cc08a12b5133a9dccf337d16f9a534f57f1e/bean/qa/complex/bean/OOoBeanTest.java#L586-L649
DuplicateAssert;https://github.com/Afrah-Rahim/Money1/blob/5e9fe90849f27596efdbfe38185adcac6efab5c5/BankTest.java#L155-L174
ExceptionHandling;https://github.com/joejensen8/Orange/blob/dac8bf7f4ed4120504e5652ddc0f79b7e1721e51/OpadTest.java#L137-L193
AssertionRoulette;https://github.com/noel-austin/CSU33012-Calculator/blob/9dee51c9af4d9ac7f8a161acb5baeb2ff1dd6691/MainTest.java#L32-L46
SleepyTest;https://github.com/zevichen/base/blob/5a7e50aab41c5949b91fd96a175cfdcd85812608/src/main/java/com/czw/base/thread/MainTest.java#L29-L52
IgnoredTest;https://github.com/Code-Connect/TUM_Homework/blob/02f466c543b40c22b76b375f929db2025a8a1e32/src/pgdp16/blatt12/rock/PlayerTest.java#L53-L59
SleepyTest;https://github.com/skolanko222/CLOBprocessor/blob/19097d5f286ba78e3431883826c0ef734facdd53/src/ClobProcessorTest.java#L96-L105
RedundantPrint;https://github.com/hyleei/Fisa3_JPAPractice/blob/8a381a9c126ebca2d4c6fae58040e10fad8ee56d/RunTest.java#L13-L37
RedundantPrint;https://github.com/gabrielseibel1/MusicSeibuilder/blob/e931ba43f8edab3ec38006ef8476e77425726952/SoundTest.java#L43-L53
MagicNumberTest;https://github.com/elsabnilsson/lab1/blob/6cb40dfe2873d0912b7c307f2f873c3689f6a802/CarTest.java#L125-L132
IgnoredTest;https://github.com/STAMP-project/dspot-experiments/blob/121487e65cdce6988081b67f21bbc6731354a47f/benchmark/training/org/zeromq/ZCertStoreTest.java#L12-L109
AssertionRoulette;https://github.com/henrytxz/Algo/blob/f0b186aa128ebd01835013f432b793593c4a0e6d/slowTests/not_quick/ArrayInversionTest.java#L52-L80
MagicNumberTest;https://github.com/Ravindra-Verma504/Java_Assignments/blob/9f4806e0952a585f5393d83553ff3e25a2bde7a4/AppTest.java#L24-L28
SleepyTest;https://github.com/arcuri82/testing_security_development_enterprise_systems/blob/c80e35b4181111f0e56ae7243bd5762756af4f90/old/old_jpa_lock/UserTest.java#L296-L340
EmptyTest;https://github.com/vigusmao/Comp2_2020_PLE/blob/f38a995ff51ade221cdca4c6b72b98b88f13d9ef/Siguinha/src/testes/AlunoTest.java#L42-L46
ExceptionHandling;https://github.com/INFO-ESIPE/TP-Programmation_Concurrente/blob/48457a69d6f38d906dda5d47965b1e91bbcb3194/TP%204/src/VoteTest.java#L8-L28
ConditionalTestLogic;https://github.com/muenchhausen/3wins/blob/57b86a71a57b9a62f811d7d568b11d9d676821fd/GameTest.java#L67-L86
MagicNumberTest;https://github.com/muenchhausen/3wins/blob/57b86a71a57b9a62f811d7d568b11d9d676821fd/GameTest.java#L394-L402
EmptyTest;https://github.com/Shalabi98/GCIS634-group-project/blob/97cacad49ba66de19c0e8bd77ecde0a2a975c98d/GeneratorTest.java#L27-L30
IgnoredTest;https://github.com/vigusmao/Comp2_2020_PLE/blob/f38a995ff51ade221cdca4c6b72b98b88f13d9ef/Siguinha/src/testes/AlunoTest.java#L42-L46
ConditionalTestLogic;https://github.com/zevichen/base/blob/5a7e50aab41c5949b91fd96a175cfdcd85812608/src/main/java/com/czw/base/thread/MainTest.java#L29-L52
ConditionalTestLogic;https://github.com/emmai89/Assignment/blob/2ec0af36a6cde4db003a09dbf18ba1ffcf1b1ffa/UnitTest.java#L19-L37
ExceptionHandling;https://github.com/henrytxz/Algo/blob/f0b186aa128ebd01835013f432b793593c4a0e6d/slowTests/not_quick/ArrayInversionTest.java#L22-L50
AssertionRoulette;https://github.com/gabrielseibel1/MusicSeibuilder/blob/e931ba43f8edab3ec38006ef8476e77425726952/SoundTest.java#L78-L86
ExceptionHandling;https://github.com/rdlester/hermes/blob/156c7cdc5479c50e952cea0878728383c1d2eb73/hermesTest/core/BeingTest.java#L93-L105
MagicNumberTest;https://github.com/joejensen8/Orange/blob/dac8bf7f4ed4120504e5652ddc0f79b7e1721e51/OpadTest.java#L99-L104
IgnoredTest;https://github.com/ArturSnyk/nomulus/blob/53cda352659a74f37349ad8b469f3617dd6fe137/javatests/google/registry/whois/WhoisActionTest.java#L252-L270
SleepyTest;https://github.com/daluu/AutoItDriverServer/blob/331ef82d824d15da4a171004ef6bd740829851de/sample-code/CalculatorTest.java#L24-L43
IgnoredTest;https://github.com/anonymized-datascientist/Leveraging-Change-Information/blob/7899774c236e7fe477451ed454d7cec33347503d/Math/15/source/FastMathTest.java#L1115-L1119
ConditionalTestLogic;https://github.com/saronson/apcs.java.06.04.Cards/blob/c7e30e11f1bbf4026f80cc30ffd7759c36deb38a/DeckTest.java#L134-L182
DuplicateAssert;https://github.com/Rangel888/Decimal-Binary-Hex-Converter/blob/6332568433580c1130a97ea1139d5c07d15a1f47/MTest.java#L28-L65
UnknownTest;https://github.com/lijtforgithub/study-spring/blob/a9016a4b8be9202a7b3071879fea719c2531136e/src/main/resources/old/activemq/JMSTest.java#L43-L50
EmptyTest;https://github.com/XiangHuang-LMC/ijava-binder/blob/4aac9e28ec62d386c908c87b927e1007834ff58a/CSC176/textbook/book/ATest.java#L5-L8
DuplicateAssert;https://github.com/muenchhausen/3wins/blob/57b86a71a57b9a62f811d7d568b11d9d676821fd/GameTest.java#L190-L206
SleepyTest;https://github.com/lijtforgithub/study-spring/blob/a9016a4b8be9202a7b3071879fea719c2531136e/src/main/resources/old/activemq/JMSTest.java#L52-L74
ExceptionHandling;https://github.com/ICSatKCC/a6-lawa-i-fishing-game-f23-g4_f23_a6/blob/71a87ba82a51202deb39bc625d80350912af1dbb/UhuTest.java#L117-L137
ExceptionHandling;https://github.com/JennsiS/Data-Structures-Profiler/blob/6eb9016dd80c6c32502e67087f33d59a74e8e6d7/MainTest.java#L9-L18
ExceptionHandling;https://github.com/alibaba/alios-libreoffice/blob/e9a6cc08a12b5133a9dccf337d16f9a534f57f1e/bean/qa/complex/bean/OOoBeanTest.java#L324-L371
EmptyTest;https://github.com/JPAKhalife/SYSC3110ProjectGroup8/blob/08f44db90b959f39377ff7c6b94de57ecad4870c/GameTest.java#L160-L163
MagicNumberTest;https://github.com/efleming91/AlternativeLanguage/blob/08766423dcfbf8530e0c5a89eafb2bdfa1db370f/CellTest.java#L75-L80
ConditionalTestLogic;https://github.com/alibaba/alios-libreoffice/blob/e9a6cc08a12b5133a9dccf337d16f9a534f57f1e/bean/qa/complex/bean/OOoBeanTest.java#L291-L319
AssertionRoulette;https://github.com/rdlester/hermes/blob/156c7cdc5479c50e952cea0878728383c1d2eb73/hermesTest/core/BeingTest.java#L58-L67
